sample,CH1
0,27
1,0
2,108
3,159
4,0
5,203
6,127
7,0
8,255
9,79
10,0
11,255
12,6
13,0
14,239
15,0
16,0
17,227
18,0
19,134
20,183
21,0
22,207
23,70
24,0
25,250
26,0
27,0
28,239
29,0
30,84
31,231
32,0
33,140
34,181
35,0
36,217
37,131
38,0
39,252
40,84
41,0
42,233
43,101
44,0
45,204
46,110
47,4
48,220
49,96
50,32
51,167
52,83
53,45
54,105
55,132
56,48
57,71
58,149
59,47
60,88
61,143
62,33
63,103
64,144
65,30
66,138
67,141
68,31
69,156
70,112
71,29
72,171
73,93
74,54
75,144
76,76
77,60
78,135
79,74
80,81
81,140
82,75
83,115
84,111
85,66
86,121
87,89
88,93
89,129
90,83
91,100
92,122
93,74
94,104
95,113
96,84
97,128
98,96
99,87
100,119
101,82
102,91
103,119
104,95
105,100
106,121
107,95
108,98
109,99
110,79
111,100
112,101
113,91
114,105
115,103
116,96
117,102
118,96
119,102
120,104
121,103
122,99
123,102
124,92
125,92
126,92
127,95
128,96
129,104
130,100
131,94
132,111
133,95
134,93
135,105
136,88
137,103
138,103
139,85
140,104
141,100
142,79
143,115
144,97
145,87
146,119
147,88
148,92
149,120
150,81
151,100
152,115
153,81
154,103
155,106
156,77
157,104
158,102
159,81
160,113
161,101
162,88
163,113
164,89
165,89
166,113
167,86
168,96
169,115
170,83
171,100
172,111
173,83
174,104
175,108
176,86
177,110
178,106
179,88
180,108
181,99
182,90
183,110
184,97
185,90
186,110
187,92
188,93
189,108
190,90
191,96
192,108
193,91
194,99
195,106
196,90
197,99
198,104
199,92
200,102
201,102
202,94
203,100
204,98
205,96
206,100
207,99
208,99
209,102
210,99
211,96
212,103
213,97
214,96
215,103
216,96
217,97
218,100
219,96
220,98
221,100
222,97
223,100
224,100
225,97
226,100
227,100
228,97
229,101
230,99
231,99
232,99
233,97
234,98
235,98
236,97
237,99
238,100
239,98
240,99
241,99
242,97
243,100
244,99
245,99
246,100
247,98
248,97
249,99
250,97
251,97
252,101
253,97
254,98
