X,CH1,
Second,Volt,
-3.32800e-05,0.00e+00,
-3.32400e-05,0.00e+00,
-3.32000e-05,0.00e+00,
-3.31600e-05,0.00e+00,
-3.31200e-05,0.00e+00,
-3.30800e-05,0.00e+00,
-3.30400e-05,0.00e+00,
-3.30000e-05,0.00e+00,
-3.29600e-05,0.00e+00,
-3.29200e-05,0.00e+00,
-3.28800e-05,0.00e+00,
-3.28400e-05,0.00e+00,
-3.28000e-05,0.00e+00,
-3.27600e-05,0.00e+00,
-3.27200e-05,0.00e+00,
-3.26800e-05,0.00e+00,
-3.26400e-05,0.00e+00,
-3.26000e-05,0.00e+00,
-3.25600e-05,0.00e+00,
-3.25200e-05,0.00e+00,
-3.24800e-05,0.00e+00,
-3.24400e-05,0.00e+00,
-3.24000e-05,0.00e+00,
-3.23600e-05,0.00e+00,
-3.23200e-05,0.00e+00,
-3.22800e-05,0.00e+00,
-3.22400e-05,0.00e+00,
-3.22000e-05,0.00e+00,
-3.21600e-05,0.00e+00,
-3.21200e-05,0.00e+00,
-3.20800e-05,0.00e+00,
-3.20400e-05,0.00e+00,
-3.20000e-05,0.00e+00,
-3.19600e-05,0.00e+00,
-3.19200e-05,0.00e+00,
-3.18800e-05,0.00e+00,
-3.18400e-05,0.00e+00,
-3.18000e-05,0.00e+00,
-3.17600e-05,0.00e+00,
-3.17200e-05,0.00e+00,
-3.16800e-05,0.00e+00,
-3.16400e-05,0.00e+00,
-3.16000e-05,0.00e+00,
-3.15600e-05,0.00e+00,
-3.15200e-05,0.00e+00,
-3.14800e-05,0.00e+00,
-3.14400e-05,0.00e+00,
-3.14000e-05,0.00e+00,
-3.13600e-05,0.00e+00,
-3.13200e-05,0.00e+00,
-3.12800e-05,7.99e-02,
-3.12400e-05,0.00e+00,
-3.12000e-05,0.00e+00,
-3.11600e-05,0.00e+00,
-3.11200e-05,0.00e+00,
-3.10800e-05,0.00e+00,
-3.10400e-05,0.00e+00,
-3.10000e-05,-7.99e-02,
-3.09600e-05,7.99e-02,
-3.09200e-05,0.00e+00,
-3.08800e-05,0.00e+00,
-3.08400e-05,7.99e-02,
-3.08000e-05,7.99e-02,
-3.07600e-05,0.00e+00,
-3.07200e-05,7.99e-02,
-3.06800e-05,0.00e+00,
-3.06400e-05,0.00e+00,
-3.06000e-05,0.00e+00,
-3.05600e-05,7.99e-02,
-3.05200e-05,0.00e+00,
-3.04800e-05,0.00e+00,
-3.04400e-05,7.99e-02,
-3.04000e-05,0.00e+00,
-3.03600e-05,7.99e-02,
-3.03200e-05,0.00e+00,
-3.02800e-05,0.00e+00,
-3.02400e-05,0.00e+00,
-3.02000e-05,0.00e+00,
-3.01600e-05,0.00e+00,
-3.01200e-05,0.00e+00,
-3.00800e-05,0.00e+00,
-3.00400e-05,7.99e-02,
-3.00000e-05,-7.99e-02,
-2.99600e-05,0.00e+00,
-2.99200e-05,0.00e+00,
-2.98800e-05,0.00e+00,
-2.98400e-05,0.00e+00,
-2.98000e-05,0.00e+00,
-2.97600e-05,0.00e+00,
-2.97200e-05,7.99e-02,
-2.96800e-05,0.00e+00,
-2.96400e-05,0.00e+00,
-2.96000e-05,7.99e-02,
-2.95600e-05,0.00e+00,
-2.95200e-05,0.00e+00,
-2.94800e-05,0.00e+00,
-2.94400e-05,0.00e+00,
-2.94000e-05,-7.99e-02,
-2.93600e-05,7.99e-02,
-2.93200e-05,0.00e+00,
-2.92800e-05,7.99e-02,
-2.92400e-05,0.00e+00,
-2.92000e-05,7.99e-02,
-2.91600e-05,0.00e+00,
-2.91200e-05,7.99e-02,
-2.90800e-05,0.00e+00,
-2.90400e-05,0.00e+00,
-2.90000e-05,0.00e+00,
-2.89600e-05,0.00e+00,
-2.89200e-05,0.00e+00,
-2.88800e-05,0.00e+00,
-2.88400e-05,0.00e+00,
-2.88000e-05,0.00e+00,
-2.87600e-05,7.99e-02,
-2.87200e-05,0.00e+00,
-2.86800e-05,7.99e-02,
-2.86400e-05,0.00e+00,
-2.86000e-05,0.00e+00,
-2.85600e-05,0.00e+00,
-2.85200e-05,0.00e+00,
-2.84800e-05,0.00e+00,
-2.84400e-05,0.00e+00,
-2.84000e-05,0.00e+00,
-2.83600e-05,7.99e-02,
-2.83200e-05,0.00e+00,
-2.82800e-05,0.00e+00,
-2.82400e-05,0.00e+00,
-2.82000e-05,0.00e+00,
-2.81600e-05,0.00e+00,
-2.81200e-05,0.00e+00,
-2.80800e-05,7.99e-02,
-2.80400e-05,0.00e+00,
-2.80000e-05,0.00e+00,
-2.79600e-05,0.00e+00,
-2.79200e-05,0.00e+00,
-2.78800e-05,0.00e+00,
-2.78400e-05,0.00e+00,
-2.78000e-05,0.00e+00,
-2.77600e-05,7.99e-02,
-2.77200e-05,0.00e+00,
-2.76800e-05,7.99e-02,
-2.76400e-05,0.00e+00,
-2.76000e-05,7.99e-02,
-2.75600e-05,0.00e+00,
-2.75200e-05,7.99e-02,
-2.74800e-05,0.00e+00,
-2.74400e-05,0.00e+00,
-2.74000e-05,0.00e+00,
-2.73600e-05,7.99e-02,
-2.73200e-05,0.00e+00,
